03/16/2022 02:13:44 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93CA8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.16912073390882087], 'pre': [0.005048288141928484], 'rec': [0.4094387755102041]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.1531584712498015], 'pre': [0.008794341838828462], 'rec': [0.43373493975903615]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.14731045929452194], 'pre': [0.006249193988810139], 'rec': [0.4127906976744186]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.14101607779583086], 'pre': [0.009686542208934458], 'rec': [0.42805755395683454]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.14589682007829827], 'pre': [0.0061571575450305146], 'rec': [0.4240139211136891]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.15699361646200694], 'pre': [0.007690492832722855], 'rec': [0.43112513144058884]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9399819284088392], 'pre': [0.009822379531086837], 'rec': [0.0437192118226601]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.26478258674258853, 'pre': 0.007635485155334536, 'rec': 0.3689828901824902}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.32994981925534855, 'pre': 0.007738684089758623, 'rec': 0.33902303635859005})})
03/16/2022 02:19:56 | train |  INFO | Epoch loss: 53.45954132080078
03/16/2022 02:24:10 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93B88>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.13837657234947523], 'pre': [0.005087083610614108], 'rec': [0.41836734693877553]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.12821517050205594], 'pre': [0.00892073839629966], 'rec': [0.4578313253012048]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.12153127264856424], 'pre': [0.006020717021804408], 'rec': [0.4011627906976744]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.1155717833243654], 'pre': [0.00971600691497797], 'rec': [0.447242206235012]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.12044074870981435], 'pre': [0.0061348093344015435], 'rec': [0.435614849187935]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.12901916956597806], 'pre': [0.007722396475410073], 'rec': [0.44532071503680337]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9440291849482159], 'pre': [0.011057243063352536], 'rec': [0.02832512315270936]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.2424548431497813, 'pre': 0.007808427830980043, 'rec': 0.3762663366500164}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.30990825768241964, 'pre': 0.008025145898275318, 'rec': 0.34554537885095754})})
03/16/2022 02:30:04 | train |  INFO | Epoch loss: 37.372703552246094
03/16/2022 02:34:12 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93D38>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.12492560406784668], 'pre': [0.005137325310018684], 'rec': [0.42857142857142855]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.12007632721177113], 'pre': [0.008447441382719243], 'rec': [0.4457831325301205]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.10984556988973165], 'pre': [0.006367100183157218], 'rec': [0.436046511627907]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.11177821721989124], 'pre': [0.008389029117122311], 'rec': [0.4244604316546763]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.10896190816257142], 'pre': [0.00620934757806399], 'rec': [0.4408352668213457]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.11997461397719349], 'pre': [0.00718824458528728], 'rec': [0.4400630914826498]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9422189120336709], 'pre': [0.0172786390956293], 'rec': [0.035098522167487683]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.23396873608038238, 'pre': 0.008431018178856862, 'rec': 0.37869405497937364}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.3019978314860319, 'pre': 0.009153343900203968, 'rec': 0.3459616985845129})})
03/16/2022 02:40:30 | train |  INFO | Epoch loss: 27.69327735900879
03/16/2022 02:45:18 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93CA8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.10129913551694825], 'pre': [0.005082007893319099], 'rec': [0.44260204081632654]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.11019596727070054], 'pre': [0.008897155086155642], 'rec': [0.463855421686747]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.08026766434515548], 'pre': [0.006270381195725419], 'rec': [0.45348837209302323]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.09989736547077833], 'pre': [0.009638033327450913], 'rec': [0.45083932853717024]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.08093467318521823], 'pre': [0.006285747455349315], 'rec': [0.4582366589327146]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.10712896976596259], 'pre': [0.007689813084325737], 'rec': [0.45636172450052576]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9439962073914779], 'pre': [0.009462851694354438], 'rec': [0.03078817733990148]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.21767428327803448, 'pre': 0.007617998533811509, 'rec': 0.3937388177009155}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.28742326002666624, 'pre': 0.007689171738060535, 'rec': 0.3588676103247294})})
03/16/2022 02:50:51 | train |  INFO | Epoch loss: 19.46415901184082
03/16/2022 02:54:48 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93EE8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.08018928470412744], 'pre': [0.005047832223438445], 'rec': [0.44260204081632654]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.0986164521780935], 'pre': [0.00884552953867595], 'rec': [0.4578313253012048]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.0688661746388807], 'pre': [0.006216588961414371], 'rec': [0.45348837209302323]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.08860628491318807], 'pre': [0.009929349215797346], 'rec': [0.4676258992805755]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.0691717773164473], 'pre': [0.006264437569240594], 'rec': [0.4617169373549884]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.09263179718008688], 'pre': [0.007812715668835207], 'rec': [0.46424815983175605]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9441539789211295], 'pre': [0.017656682679502152], 'rec': [0.03078817733990148]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.20603367855027907, 'pre': 0.008824733693843439, 'rec': 0.3969001302882537}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.27667571995879553, 'pre': 0.009590662941568283, 'rec': 0.36358590063835694})})
03/16/2022 02:59:35 | train |  INFO | Epoch loss: 15.29454231262207
